"TAB_MEASURE_LABEL","n"
"Effectifs présents la dernière semaine de décembre – Fonction Publique x Établissements appartenant à la sphère productive",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 10 à 19 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 100 à 199 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 10 à 19 salariés",41813
"Établissements – Services principalement marchands x 0 salarié",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 5 à 9 salariés",41813
"Établissements – Services principalement marchands x 500 salariés et plus",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Construction x 50 à 99 salariés",41813
"Établissements – Construction x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Fonction Publique x Établissements appartenant à la sphère présentielle",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 50 à 99 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – 20 à 49 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 50 à 99 salariés",41813
"Établissements – Construction x 100 à 199 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Construction",41813
"Établissements – Construction x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – Services principalement marchands x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – 1 à 4 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 5 à 9 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 20 à 49 salariés",41813
"Établissements – Construction x 20 à 49 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 1 à 4 salariés",41813
"Établissements – Agriculture, sylviculture et pêche x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 1 à 4 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 100 à 199 salariés",41813
"Établissements – Services principalement marchands x 50 à 99 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 20 à 49 salariés",41813
"Établissements – Services principalement marchands x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Ensemble hors particuliers employeurs x Établissements appartenant à la sphère présentielle",41813
"Établissements – Ensemble hors particuliers employeurs x Établissements appartenant à la sphère présentielle",41813
"Établissements – Services principalement marchands x 1 à 4 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 0 salarié",41813
"Établissements – Services principalement marchands x 200 à 499 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 20 à 49 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 10 à 19 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale",41813
"Effectifs présents la dernière semaine de décembre – Construction x 200 à 499 salariés",41813
"Établissements – Fonction Publique x Établissements appartenant à la sphère présentielle",41813
"Établissements – Agriculture, sylviculture et pêche x 0 salarié",41813
"Nombre d'unités légales",41805
"Nombre d'unités légales – Industrie manufacturière, industries extractives et autres",41805
"Nombre d'unités légales – Activités immobilières",41805
"Nombre d'unités légales – Activités financières et d'assurance",41805
"Nombre d'unités légales – Commerce de gros et de détail, transports, hébergement et restauration",41805
"Établissements – Autres activités de services",41805
"Établissements – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",41805
"Établissements – Information et communication",41805
"Établissements – Activités financières et d'assurance",41805
"Établissements – Activités immobilières",41805
"Nombre d'unités légales – Autres activités de services",41805
"Nombre d'unités légales – Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien",41805
"Établissements – Commerce de gros et de détail, transports, hébergement et restauration",41805
"Nombre d'unités légales – Information et communication",41805
"Nombre d'unités légales – Construction",41805
"Nombre d'unités légales – Administration publique, enseignement, santé humaine et action sociale",41805
"Population – Aucun diplôme ou BEPC, brevet des collèges, DNB x Femme",41770
"Établissements – Hôtels et hébergement similaire x 1 étoile",41770
"Établissements – Hôtels et hébergement similaire x Non classé",41770
"Nombre de places – Hôtels et hébergement similaire x 1 étoile",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x Non classé",41770
"Nombre de place-lits – Hébergement touristique et autre hébergement de courte durée",41770
"Population – Diplôme d'études supérieures x Homme",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs",41770
"Population – Baccalauréat universitaire ou équivalent : Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4",41770
"Établissements – Villages vacances et maisons familiales",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 3 étoiles",41770
"Population – Diplôme universitaire 2e ou 3e cycle",41770
"Population – Diplôme universitaire 2e ou 3e cycle x Homme",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 3 étoiles",41770
"Établissements – Hébergement touristique et autre hébergement de courte durée",41770
"Population – Aucun diplôme x Homme",41770
"Établissements – Hôtels et hébergement similaire x 2 étoiles",41770
"Superficie",41770
"Nombre de place-lits – Auberges de jeunesse et centres sportifs",41770
"Nombre de places – Hôtels et hébergement similaire x 4 étoiles",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 1 étoile",41770
"Population – Aucun diplôme ou certificat d'études primaires x Femme",41770
"Nombre de places – Hôtels et hébergement similaire x 5 étoiles",41770
"Population – Diplôme d'études supérieures x Femme",41770
"Population – Baccalauréat universitaire ou équivalent : Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4 x Femme",41770
"Établissements – Hôtels et hébergement similaire x 3 étoiles",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 5 étoiles",41770
